date,name,category,value
"Thursday, July 9, 2020",Afghanistan,Asia,33908
"Friday, July 10, 2020",Afghanistan,Asia,34194
"Saturday, July 11, 2020",Afghanistan,Asia,34366
"Sunday, July 12, 2020",Afghanistan,Asia,34451
"Monday, July 13, 2020",Afghanistan,Asia,34455
"Tuesday, July 14, 2020",Afghanistan,Asia,34740
"Wednesday, July 15, 2020",Afghanistan,Asia,34994
"Thursday, July 16, 2020",Afghanistan,Asia,35070
"Friday, July 17, 2020",Afghanistan,Asia,35229
"Saturday, July 18, 2020",Afghanistan,Asia,35301
"Sunday, July 19, 2020",Afghanistan,Asia,35475
"Monday, July 20, 2020",Afghanistan,Asia,35526
"Tuesday, July 21, 2020",Afghanistan,Asia,35615
"Wednesday, July 22, 2020",Afghanistan,Asia,35727
"Thursday, July 23, 2020",Afghanistan,Asia,35928
"Friday, July 24, 2020",Afghanistan,Asia,35981
"Saturday, July 25, 2020",Afghanistan,Asia,36036
"Sunday, July 26, 2020",Afghanistan,Asia,36157
"Monday, July 27, 2020",Afghanistan,Asia,36263
"Tuesday, July 28, 2020",Afghanistan,Asia,36368
"Wednesday, July 29, 2020",Afghanistan,Asia,36471
"Thursday, July 30, 2020",Afghanistan,Asia,36542
"Friday, July 31, 2020",Afghanistan,Asia,36675
"Saturday, August 1, 2020",Afghanistan,Asia,36710
"Sunday, August 2, 2020",Afghanistan,Asia,36710
"Monday, August 3, 2020",Afghanistan,Asia,36747
"Tuesday, August 4, 2020",Afghanistan,Asia,36782
"Wednesday, August 5, 2020",Afghanistan,Asia,36829
"Thursday, August 6, 2020",Afghanistan,Asia,36896
"Friday, August 7, 2020",Afghanistan,Asia,37015
"Saturday, August 8, 2020",Afghanistan,Asia,37054
"Sunday, August 9, 2020",Afghanistan,Asia,37054
"Monday, August 10, 2020",Afghanistan,Asia,37162
"Tuesday, August 11, 2020",Afghanistan,Asia,37269
"Wednesday, August 12, 2020",Afghanistan,Asia,37345
"Thursday, August 13, 2020",Afghanistan,Asia,37424
"Friday, August 14, 2020",Afghanistan,Asia,37431
"Saturday, August 15, 2020",Afghanistan,Asia,37551
"Sunday, August 16, 2020",Afghanistan,Asia,37596
"Monday, August 17, 2020",Afghanistan,Asia,37599
"Tuesday, August 18, 2020",Afghanistan,Asia,37599
"Wednesday, August 19, 2020",Afghanistan,Asia,37599
"Wednesday, January 22, 2020",Albania,Europe,0
"Thursday, January 23, 2020",Albania,Europe,0
"Friday, January 24, 2020",Albania,Europe,0
"Saturday, January 25, 2020",Albania,Europe,0
"Sunday, January 26, 2020",Albania,Europe,0
"Monday, January 27, 2020",Albania,Europe,0
"Tuesday, January 28, 2020",Albania,Europe,0
"Wednesday, January 29, 2020",Albania,Europe,0
"Thursday, January 30, 2020",Albania,Europe,0
"Friday, January 31, 2020",Albania,Europe,0
"Saturday, February 1, 2020",Albania,Europe,0
"Sunday, February 2, 2020",Albania,Europe,0
"Monday, February 3, 2020",Albania,Europe,0
"Tuesday, February 4, 2020",Albania,Europe,0
"Wednesday, February 5, 2020",Albania,Europe,0
"Thursday, February 6, 2020",Albania,Europe,0
"Friday, February 7, 2020",Albania,Europe,0
"Saturday, February 8, 2020",Albania,Europe,0
"Sunday, February 9, 2020",Albania,Europe,0
"Monday, February 10, 2020",Albania,Europe,0
"Tuesday, February 11, 2020",Albania,Europe,0
"Wednesday, February 12, 2020",Albania,Europe,0
"Thursday, February 13, 2020",Albania,Europe,0
"Friday, February 14, 2020",Albania,Europe,0
"Saturday, February 15, 2020",Albania,Europe,0
"Sunday, February 16, 2020",Albania,Europe,0
"Monday, February 17, 2020",Albania,Europe,0
"Tuesday, February 18, 2020",Albania,Europe,0
"Wednesday, February 19, 2020",Albania,Europe,0
"Thursday, February 20, 2020",Albania,Europe,0
"Friday, February 21, 2020",Albania,Europe,0
"Saturday, February 22, 2020",Albania,Europe,0
"Sunday, February 23, 2020",Albania,Europe,0
"Monday, February 24, 2020",Albania,Europe,0
"Tuesday, February 25, 2020",Albania,Europe,0
"Wednesday, February 26, 2020",Albania,Europe,0
"Thursday, February 27, 2020",Albania,Europe,0
"Friday, February 28, 2020",Albania,Europe,0
"Saturday, February 29, 2020",Albania,Europe,0
"Sunday, March 1, 2020",Albania,Europe,0
"Monday, March 2, 2020",Albania,Europe,0
"Tuesday, March 3, 2020",Albania,Europe,0
"Wednesday, March 4, 2020",Albania,Europe,0
"Thursday, March 5, 2020",Albania,Europe,0
"Friday, March 6, 2020",Albania,Europe,0
"Saturday, March 7, 2020",Albania,Europe,0
