"","date","country","continent","value"
"194",2020-08-02,"Afghanistan","Asia",36710
"195",2020-08-03,"Afghanistan","Asia",36747
"196",2020-08-04,"Afghanistan","Asia",36782
"197",2020-08-05,"Afghanistan","Asia",36829
"198",2020-08-06,"Afghanistan","Asia",36896
"199",2020-08-07,"Afghanistan","Asia",37015
"200",2020-08-08,"Afghanistan","Asia",37054
"201",2020-08-09,"Afghanistan","Asia",37054
"202",2020-08-10,"Afghanistan","Asia",37162
"203",2020-08-11,"Afghanistan","Asia",37269
"204",2020-08-12,"Afghanistan","Asia",37345
"205",2020-08-13,"Afghanistan","Asia",37424
"206",2020-08-14,"Afghanistan","Asia",37431
"207",2020-08-15,"Afghanistan","Asia",37551
"208",2020-08-16,"Afghanistan","Asia",37596
"209",2020-08-17,"Afghanistan","Asia",37599
"210",2020-08-18,"Afghanistan","Asia",37599
"211",2020-08-19,"Afghanistan","Asia",37599
"212",2020-01-22,"Albania","Europe",0
"213",2020-01-23,"Albania","Europe",0
"214",2020-01-24,"Albania","Europe",0
"215",2020-01-25,"Albania","Europe",0
"216",2020-01-26,"Albania","Europe",0
"217",2020-01-27,"Albania","Europe",0
"218",2020-01-28,"Albania","Europe",0
"219",2020-01-29,"Albania","Europe",0
"220",2020-01-30,"Albania","Europe",0
"221",2020-01-31,"Albania","Europe",0
"222",2020-02-01,"Albania","Europe",0
"223",2020-02-02,"Albania","Europe",0
"224",2020-02-03,"Albania","Europe",0
"225",2020-02-04,"Albania","Europe",0
"226",2020-02-05,"Albania","Europe",0
"227",2020-02-06,"Albania","Europe",0
"228",2020-02-07,"Albania","Europe",0
"229",2020-02-08,"Albania","Europe",0
"230",2020-02-09,"Albania","Europe",0
"231",2020-02-10,"Albania","Europe",0
"232",2020-02-11,"Albania","Europe",0
"233",2020-02-12,"Albania","Europe",0
"234",2020-02-13,"Albania","Europe",0
"235",2020-02-14,"Albania","Europe",0
"236",2020-02-15,"Albania","Europe",0
"237",2020-02-16,"Albania","Europe",0
"238",2020-02-17,"Albania","Europe",0
"239",2020-02-18,"Albania","Europe",0
"240",2020-02-19,"Albania","Europe",0
"241",2020-02-20,"Albania","Europe",0
"242",2020-02-21,"Albania","Europe",0
"243",2020-02-22,"Albania","Europe",0
"244",2020-02-23,"Albania","Europe",0
"245",2020-02-24,"Albania","Europe",0
"246",2020-02-25,"Albania","Europe",0
"247",2020-02-26,"Albania","Europe",0
"248",2020-02-27,"Albania","Europe",0
"249",2020-02-28,"Albania","Europe",0
"250",2020-02-29,"Albania","Europe",0
"251",2020-03-01,"Albania","Europe",0
"252",2020-03-02,"Albania","Europe",0
"253",2020-03-03,"Albania","Europe",0
"254",2020-03-04,"Albania","Europe",0
"255",2020-03-05,"Albania","Europe",0
"256",2020-03-06,"Albania","Europe",0
"257",2020-03-07,"Albania","Europe",0
"258",2020-03-08,"Albania","Europe",0
"259",2020-03-09,"Albania","Europe",2
"260",2020-03-10,"Albania","Europe",10
"261",2020-03-11,"Albania","Europe",12
"262",2020-03-12,"Albania","Europe",23
"263",2020-03-13,"Albania","Europe",33
"264",2020-03-14,"Albania","Europe",38
"265",2020-03-15,"Albania","Europe",42
"266",2020-03-16,"Albania","Europe",51
"267",2020-03-17,"Albania","Europe",55
"268",2020-03-18,"Albania","Europe",59
"269",2020-03-19,"Albania","Europe",64
"270",2020-03-20,"Albania","Europe",70
"271",2020-03-21,"Albania","Europe",76
"272",2020-03-22,"Albania","Europe",89
"273",2020-03-23,"Albania","Europe",104
"274",2020-03-24,"Albania","Europe",123
"275",2020-03-25,"Albania","Europe",146
"276",2020-03-26,"Albania","Europe",174
"277",2020-03-27,"Albania","Europe",186
"278",2020-03-28,"Albania","Europe",197
"279",2020-03-29,"Albania","Europe",212
"280",2020-03-30,"Albania","Europe",223
"281",2020-03-31,"Albania","Europe",243
"282",2020-04-01,"Albania","Europe",259
"283",2020-04-02,"Albania","Europe",277
"284",2020-04-03,"Albania","Europe",304
"285",2020-04-04,"Albania","Europe",333
"286",2020-04-05,"Albania","Europe",361
"287",2020-04-06,"Albania","Europe",377
"288",2020-04-07,"Albania","Europe",383
"289",2020-04-08,"Albania","Europe",400
"290",2020-04-09,"Albania","Europe",409
"291",2020-04-10,"Albania","Europe",416
"292",2020-04-11,"Albania","Europe",433
"293",2020-04-12,"Albania","Europe",446
"294",2020-04-13,"Albania","Europe",467
"295",2020-04-14,"Albania","Europe",475
"296",2020-04-15,"Albania","Europe",494
"297",2020-04-16,"Albania","Europe",518
"298",2020-04-17,"Albania","Europe",539
"299",2020-04-18,"Albania","Europe",548
"300",2020-04-19,"Albania","Europe",562
"301",2020-04-20,"Albania","Europe",584
"302",2020-04-21,"Albania","Europe",609
"303",2020-04-22,"Albania","Europe",634
"304",2020-04-23,"Albania","Europe",663
"305",2020-04-24,"Albania","Europe",678
"306",2020-04-25,"Albania","Europe",712
"307",2020-04-26,"Albania","Europe",726
"308",2020-04-27,"Albania","Europe",736
"309",2020-04-28,"Albania","Europe",750
"310",2020-04-29,"Albania","Europe",766
"311",2020-04-30,"Albania","Europe",773
"312",2020-05-01,"Albania","Europe",782
"313",2020-05-02,"Albania","Europe",789
"314",2020-05-03,"Albania","Europe",795
"315",2020-05-04,"Albania","Europe",803
"316",2020-05-05,"Albania","Europe",820
"317",2020-05-06,"Albania","Europe",832
"318",2020-05-07,"Albania","Europe",842
"319",2020-05-08,"Albania","Europe",850
"320",2020-05-09,"Albania","Europe",856
"321",2020-05-10,"Albania","Europe",868
"322",2020-05-11,"Albania","Europe",872
"323",2020-05-12,"Albania","Europe",876
"324",2020-05-13,"Albania","Europe",880
"325",2020-05-14,"Albania","Europe",898
"326",2020-05-15,"Albania","Europe",916
"327",2020-05-16,"Albania","Europe",933
"328",2020-05-17,"Albania","Europe",946
"329",2020-05-18,"Albania","Europe",948
"330",2020-05-19,"Albania","Europe",949
"331",2020-05-20,"Albania","Europe",964
"332",2020-05-21,"Albania","Europe",969
"333",2020-05-22,"Albania","Europe",981
"334",2020-05-23,"Albania","Europe",989
"335",2020-05-24,"Albania","Europe",998
"336",2020-05-25,"Albania","Europe",1004
"337",2020-05-26,"Albania","Europe",1029
"338",2020-05-27,"Albania","Europe",1050
"339",2020-05-28,"Albania","Europe",1076
"340",2020-05-29,"Albania","Europe",1099
"341",2020-05-30,"Albania","Europe",1122
"342",2020-05-31,"Albania","Europe",1137
"343",2020-06-01,"Albania","Europe",1143
"344",2020-06-02,"Albania","Europe",1164
