id,nom_bureau,categorie,Code_postal,ville,Code_INSEE,lat,lng,latlong
04032A,SAINTE FEYRE BP,Bureau de Poste,23000,STE FEYRE,23193,46.139231,1.91555,46.139231
00931A,LE CANNET ROCHEVILLE,Bureau de Poste,6110,LE CANNET,6030,43.569498,7.006339,43.569498
04038A,LE THEIL AP,Agence postale communale,23430,ST MARTIN STE CATHERINE,23217,45.961691,1.576202,45.961691
00934A,JUAN LES PINS,Bureau de Poste,6160,JUAN LES PINS,6004,43.570426,7.111339,43.570426
04042A,SAINT MOREIL AP,Agence postale communale,23400,ST MOREIL,23223,45.853553,1.689835,45.853553
00943A,NICE NOTRE DAME,Bureau de Poste,6000,NICE,6088,43.70236,7.265848,43.70236
04054A,VIDAILLAT AP,Agence postale communale,23250,VIDAILLAT,23260,45.958281,1.906196,45.958281
00955A,NICE GAMBETTA BP,Bureau de Poste,6000,NICE,6088,43.696699,7.254286,43.696699
04060A,AGONAC BP,Bureau de Poste,24460,AGONAC,24002,45.294139,0.751029,45.294139
00018A,BEREYZIAT RP,Relais poste commer??ant,1340,BEREZIAT,1040,46.366486,5.045942,46.366486
00959A,NICE PASTEUR BP,Bureau de Poste,6000,NICE,6088,43.719795,7.283638,43.719795
04061A,ANGOISSE AP,Agence postale communale,24270,ANGOISSE,24008,45.426899,1.137029,45.426899
00022A,BIZIAT AP,Agence postale communale,1290,BIZIAT,1046,46.216879,4.943519,46.216879
00979A,NICE MONT ALBAN BP,Bureau de Poste,6300,NICE,6088,43.705696,7.301036,43.705696
04062A,ANTONNE ET TRIGONANT RP,Relais poste commer??ant,24420,ANTONNE ET TRIGONANT,24011,45.212135,0.828683,45.212135
00030A,CEYZERIAT,Bureau de Poste,1250,CEYZERIAT,1072,46.179193,5.325461,46.179193
00997A,ARDOIX AP,Agence postale communale,7290,ARDOIX,7013,45.186508,4.736275,45.186508
04064A,MOULIN NEUF AP,Agence postale communale,24700,MOULIN NEUF,24297,45.009971,0.049831,45.009971
00035A,CHALLEX RP,Relais poste commer??ant,1630,CHALLEX,1078,46.181123,5.974539,46.181123
01006A,BERRIAS ET CASTELJAU AP,Agence postale communale,7460,BERRIAS ET CASTELJAU,7031,44.374905,4.200174,44.374905
04074A,BELVES BP,Bureau de Poste,24170,BELVES,24035,44.776622,1.007981,44.776622
00038A,CHAMPFROMIER AP,Agence postale communale,1410,CHAMPFROMIER,1081,46.194562,5.816555,46.194562
01010A,BOULIEU LES ANNONAY BP,Bureau de Poste,7100,BOULIEU LES ANNONAY,7041,45.270514,4.666238,45.270514
04078A,BOUNIAGUES AP,Agence postale communale,24560,BOUNIAGUES,24054,44.7587,0.5261,44.7587
00040A,CHANEINS AP,Agence postale communale,1990,CHANEINS,1083,46.097397,4.850998,46.097397
01011A,BOURG ST ANDEOL BP,Bureau de Poste,7700,BOURG ST ANDEOL,7042,44.373293,4.644933,44.373293
04096A,CASTELNAUD LA CHAPELLE BP,Bureau de Poste,24250,CASTELNAUD LA CHAPELLE,24086,44.813326,1.15196,44.813326
00050A,CHAZEY BONS RP,Relais poste commer??ant,1300,CHAZEY BONS,1098,45.803816,5.682173,45.803816
01012A,BURZET AP,Agence postale communale,7450,BURZET,7045,44.739358,4.245581,44.739358
04110A,LA CHAPELLE GONAGUET AP,Agence postale communale,24350,LA CHAPELLE GONAGUET,24108,45.230328,0.612668,45.230328
00053A,CHEZERY FORENS AP,Agence postale communale,1410,CHEZERY FORENS,1104,46.223344,5.868141,46.223344
01026A,COUX AP,Agence postale communale,7000,COUX,7072,44.732544,4.621825,44.732544
04114A,CHATRES AP,Agence postale communale,24120,CHATRES,24116,45.18584,1.20192,45.18584
00059A,CORBONOD RP,Relais poste commer??ant,1420,CORBONOD,1118,45.968551,5.809858,45.968551
01031A,DAVEZIEUX BP,Bureau de Poste,7430,DAVEZIEUX,7078,45.25714,4.705523,45.25714
04118A,CHERVEIX CUBAS BP,Bureau de Poste,24390,CHERVEIX CUBAS,24120,45.294829,1.126846,45.294829
00063A,CRAS SUR REYSSOUZE RP,Relais poste commer??ant,1340,BRESSE VALLONS,1130,46.33832,5.12807,46.33832
01036A,EMPURANY RP,Relais poste commer??ant,7270,EMPURANY,7085,45.02414,4.60897,45.02414
04121A,CORGNAC SUR L ISLE AP,Agence postale communale,24800,CORGNAC SUR L ISLE,24134,45.3761471,0.948671254,45.3761471
00065A,DAGNEUX AP,Agence postale communale,1120,DAGNEUX,1142,45.851505,5.075998,45.851505
01037A,ETABLES AP,Agence postale communale,7300,ETABLES,7086,45.100798,4.725349,45.100798
04130A,DAGLAN AP,Agence postale communale,24250,DAGLAN,24150,44.741,1.194106,44.741
00076A,GRILLY AP,Agence postale communale,1220,GRILLY,1180,46.33174,6.114522,46.33174
01048A,LABASTIDE DE VIRAC AP,Agence postale communale,7150,LABASTIDE DE VIRAC,7113,44.350551,4.401537,44.350551
04132A,DOUVILLE AP,Agence postale communale,24140,DOUVILLE,24155,44.998396,0.5855,44.998396
00095A,MARLIEUX AP,Agence postale communale,1240,MARLIEUX,1235,46.064674,5.069533,46.064674
01049A,LABEGUDE AP,Agence postale communale,7200,LABEGUDE,7116,44.647622,4.367666,44.647622
04133A,LA DOUZE AP,Agence postale communale,24330,LA DOUZE,24156,45.0616,0.863677,45.0616
00096A,MARTIGNAT AP,Agence postale communale,1100,MARTIGNAT,1237,46.209042,5.610398,46.209042
01058A,LAMASTRE,Bureau de Poste,7270,LAMASTRE,7129,44.984746,4.577537,44.984746
04141A,FIRBEIX AP,Agence postale communale,24450,FIRBEIX,24180,45.599597,0.974462,45.599597
00105A,MONTAGNAT AP,Agence postale communale,1250,MONTAGNAT,1254,46.171263,5.285941,46.171263
01060A,LARGENTIERE BP,Bureau de Poste,7110,LARGENTIERE,7132,44.542066,4.294355,44.542066
04148A,GRAND BRASSAC AP,Agence postale communale,24350,GRAND BRASSAC,24200,45.293895,0.478297,45.293895
00109A,MONTREVEL EN BRESSE BP,Bureau de Poste,1340,MONTREVEL EN BRESSE,1266,46.337705,5.128773,46.337705
01069A,MAYRES AP,Agence postale communale,7330,MAYRES,7153,44.66522,4.11652,44.66522
04151A,GROLEJAC AP,Agence postale communale,24250,GROLEJAC,24207,44.814093,1.29481,44.814093
00111A,NANTUA BP,Bureau de Poste,1130,NANTUA,1269,46.151066,5.605549,46.151066
01070A,MEYRAS BP,Bureau de Poste,7380,MEYRAS,7156,44.680763,4.267822,44.680763
04153A,ISSAC AP,Agence postale communale,24400,ISSAC,24211,45.016796,0.45071,45.016796
00114A,LE POIZAT LALLEYRAT RP,Relais poste commer??ant,1130,LE POIZAT LALLEYRIAT,1204,46.1448,5.6966,46.1448
01081A,LE POUZIN BP,Bureau de Poste,7250,LE POUZIN,7181,44.755816,4.748482,44.755816
04162A,LAMOTHE MONTRAVEL BP,Bureau de Poste,24230,LAMOTHE MONTRAVEL,24226,44.851701,0.02518,44.851701
00120A,PEYRIEU RP,Relais poste commer??ant,1300,PEYRIEU,1294,45.679273,5.676034,45.679273
01092A,RUOMS,Bureau de Poste,7120,RUOMS,7201,44.452859,4.341866,44.452859
04165A,LE LARDIN ST LAZARE BP,Bureau de Poste,24570,LE LARDIN ST LAZARE,24229,45.127747,1.226241,45.127747
00125A,PONT DE VEYLE,Bureau de Poste,1290,PONT DE VEYLE,1306,46.263775,4.886734,46.263775
01094A,SAINT ALBAN D AY BP,Bureau de Poste,7790,ST ALBAN D AY,7205,45.188938,4.638759,45.188938
04172A,MAREUIL BP,Bureau de Poste,24340,MAREUIL,24253,45.451353,0.451475,45.451353
00139A,SAINT ETIENNE DU BOIS BP,Bureau de Poste,1370,ST ETIENNE DU BOIS,1350,46.285991,5.29254,46.285991
01098A,SAINT BARTHELEMY LE MEIL AP,Agence postale communale,7160,ST BARTHELEMY LE MEIL,7215,44.88517,4.499,44.88517
04173A,MARQUAY AP,Agence postale communale,24620,MARQUAY,24255,44.943398,1.133909,44.943398
00153A,ST MAURICE DE REMENS AP,Agence postale communale,1500,ST MAURICE DE REMENS,1379,45.95911758,5.275502331,45.95911758
01099A,ST BARTHELEMY GROZON RP,Relais poste commer??ant,7270,ST BARTHELEMY GROZON,7216,44.963707,4.631601,44.963707
04174A,MARSAC SUR L ISLE BP,Bureau de Poste,24430,MARSAC SUR L ISLE,24256,45.184289,0.659862,45.184289
00164A,SEYSSEL BP,Bureau de Poste,1420,SEYSSEL,1407,45.957828,5.831891,45.957828
01102A,SAINT DESIRAT AP,Agence postale communale,7340,ST DESIRAT,7228,45.25417,4.78543,45.25417
04179A,MENSIGNAC AP,Agence postale communale,24350,MENSIGNAC,24266,45.223395,0.556466,45.223395
00166A,TENAY BP,Bureau de Poste,1230,TENAY,1416,45.918945,5.509259,45.918945
01108A,SAINT JEAN DE MUZOLS BP,Bureau de Poste,7300,ST JEAN DE MUZOLS,7245,45.082744,4.814817,45.082744
04189A,MONTIGNAC BP,Bureau de Poste,24290,MONTIGNAC,24291,45.064705,1.164535,45.064705
